trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
SaOO4O4 OB1830,6754,2,,"",0,500494,30004,
SaOO4O4 OB1935,6754,2,,"",0,500494,30004,
SaOO4O4 OB2040,6754,2,,"",0,500494,30004,
SaOO4O4 OB2145,6754,2,,"",0,500494,30004,
SaORLRL0830,5636,2,Red Line,"",0,500499,27208,
SaORLRL0930,5636,2,Red Line,"",0,500499,27208,
SaORLRL1030,5636,2,Red Line,"",0,500499,27208,
SaORLRL1130,5636,2,Red Line,"",0,500499,27208,
SaORLRL1230,5636,2,Red Line,"",0,500499,27208,
SaORLRL1330,5636,2,Red Line,"",0,500499,27208,
SaORLRL1430,5636,2,Red Line,"",0,500499,27208,
SaORLRL1530,5636,2,Red Line,"",0,500499,27208,
SaSGRLSL0830,5633,2,Green Line - South,"",0,500498,27105,
SaSGRLSL0930,5633,2,Green Line - South,"",0,500498,27105,
SaSGRLSL1030,5633,2,Green Line - South,"",0,500498,27105,
SaSGRLSL1130,5633,2,Green Line - South,"",0,500498,27105,
SaSGRLSL1230,5633,2,Green Line - South,"",0,500498,27105,
SaSGRLSL1330,5633,2,Green Line - South,"",0,500498,27105,
SaSGRLSL1430,5633,2,Green Line - South,"",0,500498,27105,
SaSGRLSL1530,5633,2,Green Line - South,"",0,500498,27105,
SuIO1O1D IB1220,6750,1,,"",1,500488,30122,
SuIO1O1D IB1340,6750,1,,"",1,500488,30122,
SuIO1O1D IB1500,6750,1,,"",1,500488,30122,
SuIO1O1D IB1620,6750,1,,"",1,500488,30122,
SuIO1O1D IB1740,6750,1,,"",1,500488,30122,
SuIO1O1D IB1900,6750,1,,"",1,500488,30122,
SuIO1O1D IB2020,6750,1,,"",1,500488,30122,
SuIO1O1D IB2140,6750,1,,"",1,500488,30122,
SuIO1O1D IB2300,6750,1,,"",1,500488,30122,
SuIO2O2 IB1300,6752,1,,"",1,500488,30123,
SuIO2O2 IB1420,6752,1,,"",1,500488,30123,
SuIO2O2 IB1540,6752,1,,"",1,500488,30123,
SuIO2O2 IB1700,6752,1,,"",1,500488,30123,
SuIO2O2 IB1820,6752,1,,"",1,500488,30123,
SuIO2O2 IB1940,6752,1,,"",1,500488,30123,
SuIO2O2 IB2100,6752,1,,"",1,500488,30123,
SuIO2O2 IB2220,6752,1,,"",1,500488,30123,
SuIO3O3 IB1220,6753,1,,"",1,500489,29999,
SuIO3O3 IB1305,6753,1,,"",1,500489,29999,
SuIO3O3 IB1350,6753,1,,"",1,500489,29999,
SuIO3O3 IB1435,6753,1,,"",1,500489,29999,
SuIO3O3 IB1520,6753,1,,"",1,500489,29999,
SuIO3O3 IB1605,6753,1,,"",1,500489,29999,
SuIO3O3 IB1650,6753,1,,"",1,500489,29999,
SuIO3O3 IB1735,6753,1,,"",1,500489,29999,
SuIO3O3 IB1820,6753,1,,"",1,500489,29999,
SuIO3O3 IB1905,6753,1,,"",1,500489,29999,
SuIO3O3 IB1950,6753,1,,"",1,500489,29999,
SuIO3O3 IB2035,6753,1,,"",1,500489,29999,
SuIO3O3 IB2120,6753,1,,"",1,500489,29999,
SuIO3O3 IB2205,6753,1,,"",1,500489,29999,
SuIO3O3 IB2250,6753,1,,"",1,500489,29999,
SuIO4O4 IB1230,6754,1,,"",1,500491,30003,
SuIO4O4 IB1335,6754,1,,"",1,500491,30003,
SuIO4O4 IB1440,6754,1,,"",1,500491,30003,
SuIO4O4 IB1545,6754,1,,"",1,500491,30003,
SuIO4O4 IB1650,6754,1,,"",1,500491,30003,
SuIO4O4 IB1755,6754,1,,"",1,500491,30003,
SuIO4O4 IB1900,6754,1,,"",1,500491,30003,
SuIO4O4 IB2005,6754,1,,"",1,500491,30003,
SuIO4O4 IB2110,6754,1,,"",1,500491,30003,
SuIO4O4 IB2215,6754,1,,"",1,500491,30003,
SuOO1O1D OB1200,6750,1,,"",0,500488,29994,
SuOO1O1D OB1320,6750,1,,"",0,500488,29994,
SuOO1O1D OB1440,6750,1,,"",0,500488,29994,
SuOO1O1D OB1600,6750,1,,"",0,500488,29994,
SuOO1O1D OB1720,6750,1,,"",0,500488,29994,
SuOO1O1D OB1840,6750,1,,"",0,500488,29994,
SuOO1O1D OB2000,6750,1,,"",0,500488,29994,
SuOO1O1D OB2120,6750,1,,"",0,500488,29994,
SuOO1O1D OB2240,6750,1,,"",0,500488,29994,
SuOO2O2 OB1240,6752,1,,"",0,500488,29998,
SuOO2O2 OB1400,6752,1,,"",0,500488,29998,
SuOO2O2 OB1520,6752,1,,"",0,500488,29998,
SuOO2O2 OB1640,6752,1,,"",0,500488,29998,
SuOO2O2 OB1800,6752,1,,"",0,500488,29998,
SuOO2O2 OB1920,6752,1,,"",0,500488,29998,
SuOO2O2 OB2040,6752,1,,"",0,500488,29998,
SuOO2O2 OB2200,6752,1,,"",0,500488,29998,
SuOO3O3 OB1200,6753,1,,"",0,500489,30000,
SuOO3O3 OB1245,6753,1,,"",0,500489,30000,
SuOO3O3 OB1330,6753,1,,"",0,500489,30000,
SuOO3O3 OB1415,6753,1,,"",0,500489,30000,
SuOO3O3 OB1500,6753,1,,"",0,500489,30000,
SuOO3O3 OB1545,6753,1,,"",0,500489,30000,
SuOO3O3 OB1630,6753,1,,"",0,500489,30000,
SuOO3O3 OB1715,6753,1,,"",0,500489,30000,
SuOO3O3 OB1800,6753,1,,"",0,500489,30000,
SuOO3O3 OB1845,6753,1,,"",0,500489,30000,
SuOO3O3 OB1930,6753,1,,"",0,500489,30000,
SuOO3O3 OB2015,6753,1,,"",0,500489,30000,
SuOO3O3 OB2100,6753,1,,"",0,500489,30000,
