stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7236415,,"Highland St. at Goldman Ave","",39.500481,-84.380976,,,0,,,0,,
7236416,,"University Blvd at Woodlawn Ave","",39.507018,-84.393947,,,0,,,0,,
7236417,,"University Ave at Logan Ave","",39.509367,-84.393743,,,0,,,0,,
7236418,,"University Blvd at ManhattanSt","",39.511395,-84.392953,,,0,,,0,,
7236419,,"Manchester Ave at Webster St","",39.516304,-84.399086,,,0,,,0,,
7236420,,"Manchester Ave at UDF","",39.516945,-84.400696,,,0,,,0,,
7236422,,"Curtis St and Girard Ave","",39.511586,-84.401597,,,0,,,0,,
7236423,,"Curtis St.","",39.509976,-84.402391,,,0,,,0,,
7236424,,"Curtis St and Woodlawn Ave","",39.508209,-84.403206,,,0,,,0,,
7236425,,"Curtis St at Parkview Ave","",39.504546,-84.405502,,,0,,,0,,
7236426,,"Yankee Rd at Curtis St","",39.503842,-84.405776,,,0,,,0,,
7236427,,"Yankee Rd at 14th Ave","",39.501516,-84.403753,,,0,,,0,,
7236428,,"Yankee Rd at Kunz Ave","",39.500411,-84.402809,,,0,,,0,,
7236429,,"Yankee Rd at Young St","",39.498482,-84.400942,,,0,,,0,,
7236430,,"Baltimore St at Yankee Rd","",39.497563,-84.400127,,,0,,,0,,
7236431,,"Baltimore St at Smith Ave","",39.494901,-84.401329,,,0,,,0,,
7236432,,"Baltimore St at Lafayette Ave","",39.493129,-84.401436,,,0,,,0,,
7236433,,"Lafayette Ave at Cherry St","",39.492997,-84.400261,,,0,,,0,,
7236434,,"Lafayette Ave at Finley St","",39.492848,-84.398217,,,0,,,0,,
7236435,,"Lafayette Ave at Yankee Rd","",39.492731,-84.395623,,,0,,,0,,
7236436,,"Yankee Rd at Meadow Ave","",39.491051,-84.395653,,,0,,,0,,
7236437,,"Yankee Rd at Pershing Ave","",39.485015,-84.396002,,,0,,,0,,
7236438,,"Yankee Rd at Glenn Ave","",39.484166,-84.396077,,,0,,,0,,
7236439,,"Yankee Rd First Church of God","",39.481305,-84.396318,,,0,,,0,,
7236440,,"Nas-Car Drive Through","",39.47863,-84.396071,,,0,,,0,,
7236441,,"Mohawk St and Waneta Ave","",39.478862,-84.394891,,,0,,,0,,
7236443,,"Yankee Rd at Oneka St","",39.482804,-84.396071,,,0,,,0,,
7236444,,"Yankee Rd at Lawn Ave","",39.491829,-84.39516,,,0,,,0,,
7236445,,"14th Ave at Railroad Crossing","",39.501822,-84.398443,,,0,,,0,,
7236447,,"Baltimore St at 14th Ave NB","",39.502011,-84.399227,,,0,,,0,,
7236448,,"Baltimore St at Jacoby Ave","",39.504139,-84.399034,,,0,,,0,,
7236449,,"Baltimore St at Forest Ave","",39.506181,-84.399226,,,0,,,0,,
7236450,,"Baltimore St and Fairmount Ave","",39.50849,-84.399092,,,0,,,0,,
7236451,,"Baltimore St at Fairfield Ave","",39.510398,-84.398866,,,0,,,0,,
7236452,,"Baltimore St at Girard St","",39.511565,-84.398818,,,0,,,0,,
7236453,,"Baltimore St at First Ave","",39.513109,-84.39871,,,0,,,0,,
7236454,,"Baltimore at Central Ave","",39.514473,-84.398198,,,0,,,0,,
7236455,354,"Central Ave at Clark St","",39.51486,-84.398541,,,0,,,0,,
7236456,,"Central Ave at Curtis St","",39.51511,-84.399514,,,0,,,0,,
7236457,,"Central Ave at Smoke Shop","",39.515688,-84.401808,,,0,,,0,,
7237011,,"Main St at Sorg Mansion","",39.514268,-84.407347,,,0,,,0,,
7237012,,"Main St at Fifth Ave","",39.511168,-84.410067,,,0,,,0,,
7237013,,"Main St at Sixth Ave","",39.510104,-84.410985,,,0,,,0,,
7237014,,"Main St at Seventh Ave","",39.509227,-84.411821,,,0,,,0,,
7237015,,"9th & Main SB","",39.507621,-84.413239,,,0,,,0,,
7237016,,"Main St at Windsor Ave","",39.506574,-84.414048,,,0,,,0,,
7237017,,"Main St at Eleventh Ave","",39.505431,-84.415067,,,0,,,0,,
7237018,,"Main St at Fourteenth Ave","",39.502042,-84.41725,,,0,,,0,,
7237019,,"Main St at Sixteenth Ave","",39.500092,-84.417744,,,0,,,0,,
7237020,,"Main St at Eighteenth Ave","",39.497832,-84.418087,,,0,,,0,,
7237021,,"Main & McGuire SB","",39.49668,-84.418329,,,0,,,0,,
7237022,,"Main St at Elm Grove Terrace SB","",39.492363,-84.418806,,,0,,,0,,
7237023,,"Main St at Dollar General","",39.491477,-84.418897,,,0,,,0,,
7237024,,"Main St at Granada Ave","",39.490289,-84.418945,,,0,,,0,,
7237025,,"Main St at Diamond Loop","",39.48677,-84.419433,,,0,,,0,,
7237026,,"Main and Oxford State (Speedway) SB","",39.481527,-84.420034,,,0,,,0,,
7237027,,"Engles Corner SB","",39.480324,-84.420157,,,0,,,0,,
7237028,,"Kroger at Oxford State Rd","",39.47929,-84.420369,,,0,,,0,,
7237029,,"Main and Oxford State (Dad's Restaurant) NB","",39.482336,-84.419745,,,0,,,0,,
7237030,,"Main St at Moose Lodge","",39.484001,-84.419578,,,0,,,0,,
7237031,,"Main St at Main Bar","",39.487656,-84.41916,,,0,,,0,,
7237032,,"Main St at Pinta Ave NB","",39.489093,-84.419037,,,0,,,0,,
7237033,,"Main at Elm Grove Terrace NB","",39.492392,-84.418688,,,0,,,0,,
7237035,,"Lafayette Ave and Trailbridge Apts","",39.494098,-84.41666,,,0,,,0,,
7237036,,"Lafayette Ave and Trailbridge Apts Office","",39.493983,-84.415016,,,0,,,0,,
7237037,,"Lafayette Ave and Minnesota St","",39.494061,-84.413382,,,0,,,0,,
7237038,,"Minnesota St at Douglas Park","",39.496052,-84.413162,,,0,,,0,,
7237039,,"Minnesota St at Eighteenth Ave","",39.497683,-84.413061,,,0,,,0,,
7237040,,"Minnesota St at Seventeenth Ave","",39.498842,-84.412964,,,0,,,0,,
7237041,,"Minnesota St at Sixteenth Ave","",39.499641,-84.412894,,,0,,,0,,
7237042,,"Minnesota St at Fifteenth Ave","",39.50058,-84.412798,,,0,,,0,,
7237043,,"Minnesota St at Fourteenth Ave","",39.501619,-84.412706,,,0,,,0,,
7237045,,"Primary Health Solutions","",39.505568,-84.409429,,,0,,,0,,
7237046,,"9th & Yankee EB","",39.50681,-84.408195,,,0,,,0,,
7237047,,"Yankee Rd at Hanover Ave","",39.508469,-84.40761,,,0,,,0,,
7237048,,"Yankee Rd at Fifth Ave","",39.509699,-84.407498,,,0,,,0,,
7237049,,"Yankee Rd at Fourth Ave","",39.511106,-84.407412,,,0,,,0,,
7237050,,"Broad St at Girard Ave","",39.51219,-84.406891,,,0,,,0,,
7237051,,"Broad St at Middletown Public Library","",39.514305,-84.405108,,,0,,,0,,
7237052,,"Main St at Fifth/Third Bank","",39.516382,-84.405384,,,0,,,0,,
7237054,,"Main St at Manchester St","",39.51846,-84.403576,,,0,,,0,,
7237055,,"Main St at City Building","",39.520256,-84.402047,,,0,,,0,,
7237056,,"Reinartz Blvd at Police Station","",39.519875,-84.400717,,,0,,,0,,
7237059,,"Charles St at North Ave","",39.51541,-84.391383,,,0,,,0,,
7237060,,"Charles St at Columbia Ave","",39.516908,-84.390975,,,0,,,0,,
7237061,,"Charles St at Reinartz Blvd","",39.518663,-84.390857,,,0,,,0,,
7237062,,"Charles St and Clayton","",39.520748,-84.390492,,,0,,,0,,
7237063,,"Charles St at Van Ave","",39.522019,-84.390401,,,0,,,0,,
7237064,,"Tytus Ave at Auburn St","",39.524361,-84.388508,,,0,,,0,,
7237065,,"Tytus Ave at Catalpa","",39.524998,-84.386233,,,0,,,0,,
7237066,,"Tytus Ave at Wilmore St","",39.525312,-84.385187,,,0,,,0,,
7237067,,"Tytus Ave at Chase Bank","",39.52583,-84.383057,,,0,,,0,,
7237068,,"Tytus Ave and Nelbar St","",39.52614,-84.381614,,,0,,,0,,
7237069,,"Tytus Ave and Enoch St","",39.527348,-84.378723,,,0,,,0,,
7237070,,"Tytus Ave at Princeton St","",39.529065,-84.376277,,,0,,,0,,
7237071,,"Tytus Ave at Eldora St","",39.530186,-84.374903,,,0,,,0,,
7237072,,"Tytus Ave at Ohio Ave","",39.531681,-84.372702,,,0,,,0,,
7237073,,"Jewell Ave at Lowell St","",39.533869,-84.364872,,,0,,,0,,
7237074,,"Jewell Ave at Bryant St","",39.534564,-84.363735,,,0,,,0,,
7237075,,"Jewell Ave at Whittier St","",39.535383,-84.362447,,,0,,,0,,
7237076,,"Jewell Ave at Hawthorne","",39.536252,-84.361213,,,0,,,0,,
7237077,,"Jewell Ave at Longfellow St","",39.537071,-84.359969,,,0,,,0,,
7237078,,"Jewell Ave at Browning St","",39.538639,-84.357592,,,0,,,0,,
7237079,,"Shelley St at Tytus Ave","",39.540703,-84.357281,,,0,,,0,,
7237080,,"Tytus Ave at Byron St","",39.53945,-84.3605,,,0,,,0,,
7237081,,"Tytus Ave at Longfellow St","",39.5389,-84.361653,,,0,,,0,,
7237082,,"Tytus Ave at Hawthorne","",39.538122,-84.363043,,,0,,,0,,
7237083,,"Tytus Ave at Whittier St","",39.537352,-84.36462,,,0,,,0,,
7237084,,"Tytus Ave at Verity Pkwy","",39.536426,-84.366358,,,0,,,0,,
7237085,,"Wilbraham Ave at Royal Pines Apts","",39.534345,-84.372318,,,0,,,0,,
7237086,,"Wilbraham Ave Midway","",39.533546,-84.374034,,,0,,,0,,
7237087,,"Wilbraham Ave at Winona St (East End)","",39.532979,-84.375038,,,0,,,0,,
7237088,,"Wilbraham Ave at Winona St (West End)","",39.530133,-84.380279,,,0,,,0,,
7237089,,"Wilbraham Ave at Germantown Rd","",39.529827,-84.383406,,,0,,,0,,
7237090,,"Wilbraham Ave at Wilmore St","",39.529351,-84.386255,,,0,,,0,,
7237091,,"Wilbraham Ave at Malvern St","",39.528763,-84.388068,,,0,,,0,,
7237092,,"Wilbraham Ave at Elwood St","",39.528713,-84.390627,,,0,,,0,,
7237093,,"Elwood St at Erie Ave","",39.527667,-84.390755,,,0,,,0,,
7237094,,"Elwood St at Verity Pkwy","",39.526438,-84.390632,,,0,,,0,,
7237097,,"Verity Pkwy at Senior High Rise","",39.521133,-84.397273,,,0,,,0,,
7237283,,"Chestnut at Arrowhead EB","",39.500473,-84.740306,,,0,,,0,,
7237284,,"Morris Hall","",39.502917,-84.732991,,,0,,,0,,
7237285,1046,"Miami Station D","",39.50706,-84.732901,,,0,,,0,,
7237286,,"Ditmer Parking Lot","",39.50648,-84.721467,,,0,,,0,,
7237287,,"Cole Services Building","",39.508016,-84.727867,,,0,,,0,,
7237288,,"East Quad","",39.510189,-84.727655,,,0,,,0,,
7237289,,"Farmer School","",39.510418,-84.730301,,,0,,,0,,
7237290,1493,"Miami Station A","",39.507347,-84.734827,,,0,,,0,,
7237291,,"McGuffey Hall","",39.507374,-84.738504,,,0,,,0,,
7237292,,"South Campus Garage SB","",39.503403,-84.739442,,,0,,,0,,
7237293,,"Campus & Chestnut SB","",39.501019,-84.739523,,,0,,,0,,
7238297,,"Market Street Station - Area A","",39.400309,-84.560775,,,0,,,0,,
7238298,,"High & East EB","",39.3966,-84.551672,,,0,,,0,,
7238299,,"High & Hancock EB","",39.395009,-84.547151,,,0,,,0,,
7238300,,"High & Fair EB","",39.392892,-84.542885,,,0,,,0,,
7238301,,"Princeton Square Apts. NB","",39.39166,-84.53322,,,0,,,0,,
7238302,,"Wal-Mart Fairfield Twp. EB","",39.390946,-84.50978,,,0,,,0,,
7238303,,"Bridgewater Falls NB","",39.390415,-84.500959,,,0,,,0,,
7238304,,"Butler Tech NB","",39.406988,-84.493304,,,0,,,0,,
7238305,,"SR-4 at Liberty-Fairfield NB","",39.416004,-84.474831,,,0,,,0,,
7238306,,"Kyle's Station Kroger","",39.422943,-84.457525,,,0,,,0,,
7238307,,"Countryside Village & SR 747 NB","",39.427242,-84.451122,,,0,,,0,,
7238308,,"SR-4 at Monroe Crossings NB","",39.440397,-84.430771,,,0,,,0,,
7238309,,"Kohl's Distribution Center Northbound","",39.450179,-84.399805,,,0,,,0,,
7238310,,"9th & Main NB","",39.507113,-84.413465,,,0,,,0,,
7239424,,"9th & Main WB","",39.507227,-84.413259,,,0,,,0,,
7239425,,"Oxford State Rd. & Main Street SB","",39.480922,-84.419433,,,0,,,0,,
7239426,,"Kohl's Distribution Center Southbound","",39.449649,-84.400245,,,0,,,0,,
7239427,,"SR-4 at Lesourdsville Lake SB","",39.441629,-84.429921,,,0,,,0,,
7239428,,"Countryside Village & SR 747 SB","",39.427519,-84.451349,,,0,,,0,,
7239429,,"Liberty Square","",39.416981,-84.473794,,,0,,,0,,
7239430,,"Butler Metropolitan Housing Authority","",39.414926,-84.479303,,,0,,,0,,
7239431,,"Butler Tech SB","",39.407144,-84.493551,,,0,,,0,,
7239432,,"Bridgewater Falls WB","",39.39067,-84.501466,,,0,,,0,,
7239433,,"Wal-Mart Fairfield Twp. WB","",39.391156,-84.50975,,,0,,,0,,
7239434,,"Princeton Square Apts. SB","",39.391507,-84.533347,,,0,,,0,,
7239435,,"High & Fair WB","",39.393316,-84.543332,,,0,,,0,,
7239436,,"High & Erie WB","",39.396238,-84.549582,,,0,,,0,,
7239437,,"High & 7th WB","",39.397589,-84.554231,,,0,,,0,,
7240364,,"Central Ave at Dollar General","",39.512521,-84.387639,,,0,,,0,,
7240365,,"University Blvd at Needler's Market","",39.520591,-84.381351,,,0,,,0,,
7240366,,"University & Park NB","",39.525387,-84.365864,,,0,,,0,,
7240367,,"Miami University - Middletown","",39.523711,-84.356729,,,0,,,0,,
